,course,rating,students,level,university,skills
208,Image Processing with Python,4.3,12 mil,Intermediate,Coursera Project Network,Python
209,Traffic Sign Classification Using Deep Learning in Python/Keras,4.6,10 mil,Intermediate,Coursera Project Network,Python
210,Climate Geospatial Analysis on Python with Xarray,4.2,None,Intermediate,Coursera Project Network,Python
211,Create a Python Application using PyMongo and MongoDB Database,4.4,"3,2 mil",Intermediate,Coursera Project Network,Python
212,Network Data Science with NetworkX and Python,4.3,5 mil,Intermediate,Coursera Project Network,Python
213,Машинное обучение с использованием Python,None,None,Intermediate,IBM,Python
214,Dimensionality Reduction using an Autoencoder in Python,4.6,"3,3 mil",Intermediate,Coursera Project Network,Python
215,"Activity Recognition using Python, Tensorflow and Keras",None,None,Beginner,Coursera Project Network,Python
216,Build a Python GUI with Tkinter,4.4,"3,2 mil",Intermediate,Coursera Project Network,Python
217,Aprendizado de máquina com Python,None,None,Intermediate,IBM,Python
218,Python Data Visualization,4.7,33 mil,Beginner,Rice University,Python
219,Estadísticas para la Ciencia de Datos con Python,None,None,Mixed,IBM,Python
220,Анализ данных с использованием Python,None,None,Beginner,IBM,Python
221,Testing and Debugging Python,4.3,"6,2 mil",Intermediate,Coursera Project Network,Python
222,Use Python to Create a Web Testing Bot,4,None,Intermediate,Coursera Project Network,Python
223,Analysing Covid-19 Geospatial data with Python,4.3,None,Intermediate,Coursera Project Network,Python
224,Procesamiento del lenguaje natural con Python y Power BI,5,None,Intermediate,Coursera Project Network,Python
225,Extract Text Data with Python and Regex,4.4,None,Intermediate,Coursera Project Network,Python
226,Machine Learning for Accounting with Python,4.5,"6,6 mil",Intermediate,University of Illinois at Urbana-Champaign,Python
227,Logistic Regression with NumPy and Python,4.5,12 mil,Beginner,Coursera Project Network,Python
228,Image Segmentation with Python and Unsupervised Learning,4.6,None,Intermediate,Coursera Project Network,Python
229,Advanced Python - Reconnaissance,4,None,Mixed,Infosec,Python
230,Aprendizaje Automático con Python,5,None,Intermediate,IBM,Python
231,Python per la Data Science,None,None,Intermediate,Università di Napoli Federico II,Python
232,Visualizing & Communicating Results in Python with Jupyter,None,None,Beginner,Codio,Python
233,Linear Regression with Python,4.6,10 mil,Intermediate,Coursera Project Network,Python
234,Análisis exploratorio de datos con Python y Pandas,None,None,Beginner,Coursera Project Network,Python
235,"Storing, Retrieving, and Processing JSON data with Python",None,None,Intermediate,Coursera Project Network,Python
236,Wrangling Data for Data Analysts with Python,None,None,Beginner,Coursera Project Network,Python
237,Analyser vos données avec Python,None,None,Beginner,Coursera Project Network,Python
238,Test Driven Development Process For Beginners In Python,None,None,Beginner,Coursera Project Network,Python
239,"Where, Why, and How of List Comprehension in Python",None,None,Beginner,Coursera Project Network,Python
240,Facebook Network Analysis using Python and Networkx,4.3,None,Intermediate,Coursera Project Network,Python
241,Visualización Avanzada de datos con Python,None,None,Intermediate,Coursera Project Network,Python
242,Regresión logística con NumPy y Python,None,None,Beginner,Coursera Project Network,Python
243,Creating a Color Game in Python Using Tkinter GUI,None,None,Beginner,Coursera Project Network,Python
244,Creating a Supermarket App Using Python,4.5,None,Intermediate,Coursera Project Network,Python
245,"Python for Command-and-control, Exfiltration and Impact",5,None,Intermediate,Infosec,Python
246,DevOps and Build Automation with Python,4,None,Beginner,LearnQuest,Python
247,Detect Fake News in Python with Tensorflow,3.8,None,Intermediate,Coursera Project Network,Python
248,COVID-19 : Les séries temporelles avec Python et Pandas,4.5,None,Intermediate,Coursera Project Network,Python
249,Working with AWS S3 Buckets using Python & boto3,5,None,Beginner,Coursera Project Network,Python
250,Introduction to Statistics in Python,None,None,Intermediate,Coursera Project Network,Python
251,DataViz - Grammaire des Graphiques avec Python,None,None,Intermediate,Coursera Project Network,Python
252,Text Generation with Markov Chains in Python,None,None,Intermediate,Coursera Project Network,Python
253,AWS Elastic Beanstalk:Deploy a Python(Flask) Web Application,4.6,"1,5 mil",Beginner,Coursera Project Network,Python
254,Regular Expressions in Python,4.3,None,Intermediate,Coursera Project Network,Python
255,Configuring Python Extension Pack with Visual Studio Code,None,None,Beginner,Coursera Project Network,Python
256,Build a User Interface using Python Language,None,None,Intermediate,Coursera Project Network,Python
257,Visualización de Datos con Python,4.6,None,Intermediate,IBM,Python
258,Hypothesis Testing with Python and Excel,4.2,"2,1 mil",Intermediate,Tufts University,Python
259,Use Python and Java to Create a GUI Application,None,None,Intermediate,Coursera Project Network,Python
260,Программирование для всех (начало работы с Python),None,None,Mixed,University of Michigan,Python
261,Create your own Sudoku Solver using AI and Python,4.3,"2,7 mil",Intermediate,Coursera Project Network,Python
262,Create a Tic-Tac-Toe game in Python,4.9,None,Intermediate,Coursera Project Network,Python
263,Practical Python for AI Coding 2,None,None,Beginner,Korea Advanced Institute of Science and Technology(KAIST),Python
264,Applied Calculus with Python,None,None,Intermediate,Johns Hopkins University,Python
265,Uso de bancos de dados com Python,None,None,Mixed,University of Michigan,Python
266,Uso de bases de datos con Python,None,None,Mixed,University of Michigan,Python
267,Juniper Networks Automation Using Python and PyEZ,None,None,Beginner,Juniper Networks,Python
268,Estructuras de datos de Python,None,None,Mixed,University of Michigan,Python
269,Использование языка Python для доступа к веб-данным,None,None,Mixed,University of Michigan,Python
270,Defensive Python,None,None,Mixed,Infosec,Python
271,Automatic Machine Learning with H2O AutoML and Python,4.8,"6,3 mil",Intermediate,Coursera Project Network,Python
272,Estruturas de dados Python,None,None,Mixed,University of Michigan,Python
273,Deploying a Python Data Analytics web app on Heroku,4.3,None,Intermediate,Coursera Project Network,Python
274,Analyze Box Office Data with Seaborn and Python,4.5,"4,1 mil",Intermediate,Coursera Project Network,Python
275,Working with Amazon DynamoDB using Python & Boto3,None,None,Beginner,Coursera Project Network,Python
276,Enhance your python unit testing using Coverage,None,None,Intermediate,Coursera Project Network,Python
277,Python Optical Character Recognition using Pytorch,None,None,Beginner,Coursera Project Network,Python
278,Структуры данных Python,None,None,Mixed,University of Michigan,Python
279,Visualização de dados com o Python,None,None,Intermediate,IBM,Python
280,"Le Où, Pourquoi et Comment des Fonctions Lambda en Python",None,None,Beginner,Coursera Project Network,Python
281,Series Temporales con Pycaret y Python,None,None,Intermediate,Coursera Project Network,Python
282,Data Processing using Python Collections,None,None,Intermediate,Coursera Project Network,Python
283,GUI Programming: Create a Login System in Python,3.8,None,Intermediate,Coursera Project Network,Python
284,Plots Creation using Matplotlib Python,None,None,Beginner,Coursera Project Network,Python
285,Build a Machine Learning Image Classifier with Python,None,None,Intermediate,Coursera Project Network,Python
286,ML: Diagnose the presence of Breast Cancer with Python,None,None,Intermediate,Coursera Project Network,Python
287,High-dimensional Data visualization techniques using python,None,None,Intermediate,Coursera Project Network,Python
288,Decryption with Python,None,None,Intermediate,Coursera Project Network,Python
289,Machine Learning con Python. Nivel intermedio,None,None,Beginner,Coursera Project Network,Python
290,Installation et Configuration Python avec Visual Studio Code,None,None,Beginner,Coursera Project Network,Python
291,Nettoyer vos données avec Python,None,None,Beginner,Coursera Project Network,Python
292,Python استخدام قواعد البيانات مع,None,None,Mixed,University of Michigan,Python
293,Write your own Python tool to footprint a web application,None,None,Intermediate,Coursera Project Network,Python
294,Personal Desktop Notifier in Python: Covid-19 notifications,None,None,Intermediate,Coursera Project Network,Python
295,Python بُنى بيانات,None,None,Mixed,University of Michigan,Python
296,Exploring and Analyzing Fifa's Datasets Using Python,None,None,Beginner,Coursera Project Network,Python
297,Crea tu primera aplicación web con Python y Flask,None,None,Intermediate,Coursera Project Network,Python
298,Python برنامج لحل لعبة السودوكو بالذكاء الاصطناعى باستخدام,None,None,Intermediate,Coursera Project Network,Python
299,Message Encoding/Decoding in Python with GUI,None,None,Beginner,Coursera Project Network,Python
300,Create Ping-Pong Game in Python using Turtle Graphics,None,None,Intermediate,Coursera Project Network,Python
301,Machine Learning con Python. Nivel Avanzado,None,None,Intermediate,Coursera Project Network,Python
302,"Creating a Rock, Paper, Scissors Game in Python",None,None,Beginner,Coursera Project Network,Python
303,Create a Dynamic-Link Library with DevC++ for Python,None,None,Intermediate,Coursera Project Network,Python
304,Design and Develop an Obstacles Game using Pygame in Python,None,None,Intermediate,Coursera Project Network,Python
305,Hierarchical relational data analysis using python,None,None,Intermediate,Coursera Project Network,Python
306,برنامج تنبيه سطح المكتب باستخدام Python: إشعارات Covid-19,None,None,Intermediate,Coursera Project Network,Python
307,Python في Pygame تصميم و تطوير لعبة العقبات باستخدام,None,None,Intermediate,Coursera Project Network,Python
308,Affectation de variable en Python,None,None,Beginner,Coursera Project Network,Python
309,Création de chaînes en Python,None,None,Beginner,Coursera Project Network,Python
310,Tirer Parti des Listes Pour un Code Python Plus Simple,None,None,Beginner,Coursera Project Network,Python
311,"Aprendiendo Python con textos, números y ecuaciones",4.8,None,Beginner,Coursera Project Network,Python
312,Graficando con Python,None,None,Intermediate,Coursera Project Network,Python
313,Chicken Invaders Game in Python using Pygame,None,None,Beginner,Coursera Project Network,Python
314,أساسيات python: برمج لعبة تخمين الرقم من الصفر,None,None,Beginner,Coursera Project Network,Python
315,بناء Neural Network مكونه من 3 طبقات بأستخدام لغة Python,None,None,Beginner,Coursera Project Network,Python
316,Les Expressions Régulières en Python,None,None,Intermediate,Coursera Project Network,Python
317,Python معالجة مسبقة للبيانات و تحليلها بواسطة,None,None,Beginner,Coursera Project Network,Python
318,Crea tu primer juego de adivinanza con Python,None,None,Beginner,Coursera Project Network,Python
319,MatplotLib Python باستخدام plots إنشاء ال,None,None,Beginner,Coursera Project Network,Python
320,Des nombres et plus en Python,None,None,Beginner,Coursera Project Network,Python
321,Explorando funciones cuadráticas con Python,None,None,Beginner,Coursera Project Network,Python
322,Aprendizaje automático con Python y Azure Notebooks,None,None,Beginner,Coursera Project Network,Python
