,course,rating,students,level,university,skills
1153,Accounting Data Analytics,4.7,29.0,Intermediate,University of Illinois at Urbana-Champaign,Machine Learning
1154,Advanced Computer Vision with TensorFlow,4.8,16.0,Intermediate,DeepLearning.AI,Machine Learning
1155,Big Data – Introducción al uso práctico de datos masivos,4.6,44.0,Beginner,Universitat Autònoma de Barcelona,Machine Learning
1156,Apply Generative Adversarial Networks (GANs),4.8,14.0,Intermediate,DeepLearning.AI,Machine Learning
1157,Psicología,4.8,24.0,Beginner,Universidad de Palermo,Machine Learning
1158,"Build, Train, and Deploy ML Pipelines using BERT",4.6,6.4,Advanced,DeepLearning.AI,Machine Learning
1159,Word Forms and Simple Present Tense,4.9,12.0,Beginner,"University of California, Irvine",Machine Learning
1160,Model Thinking,4.8,180.0,Mixed,University of Michigan,Machine Learning
1161,Data Analysis and Interpretation,4.4,140.0,Beginner,Wesleyan University,Machine Learning
1162,Introduction to Applied Cryptography,4.6,29.0,Beginner,University of Colorado System,Machine Learning
1163,Healthcare Marketplace,4.5,61.0,Beginner,University of Minnesota,Machine Learning
1164,Applied Cryptography,4.5,23.0,Intermediate,University of Colorado System,Machine Learning
1165,Computational Neuroscience,4.6,95.0,Beginner,University of Washington,Machine Learning
1166,Bayesian Statistics: Techniques and Models,4.8,48.0,Intermediate,"University of California, Santa Cruz",Machine Learning
1167,Healthcare Trends for Business Professionals,4.4,12.0,Beginner,Northeastern University,Machine Learning
1168,Preparing for Google Cloud Certification: Cloud Engineer Professional Certificate en Español,4.8,18.0,Intermediate,Google Cloud,Machine Learning
1169,Introduction to Clinical Data,4.6,8.4,Beginner,Stanford University,Machine Learning
1170,Custom and Distributed Training with TensorFlow,4.8,9.1,Intermediate,DeepLearning.AI,Machine Learning
1171,Sample-based Learning Methods,4.8,22.0,Intermediate,University of Alberta,Machine Learning
1172,Applied Data Science Capstone,4.7,93.0,Intermediate,IBM,Machine Learning
1173,Innovating with Data and Google Cloud,4.8,8.5,Beginner,Google Cloud,Machine Learning
1174,Data-driven Astronomy,4.8,26.0,Intermediate,The University of Sydney,Machine Learning
1175,Practical Time Series Analysis,4.6,66.0,Intermediate,The State University of New York,Machine Learning
1176,Ciencia de Datos Aplicada,4.6,3.5,Beginner,IBM,Machine Learning
1177,Developing Industrial Internet of Things,4.6,25.0,Intermediate,University of Colorado Boulder,Machine Learning
1178,SAS Visual Business Analytics,4.7,26.0,Beginner,SAS,Machine Learning
1179,Embedded Software and Hardware Architecture,4.5,29.0,Intermediate,University of Colorado Boulder,Machine Learning
1180,Data-Driven Decision Making (DDDM),4.5,7.7,Beginner,University at Buffalo,Machine Learning
1181,Statistics with SAS,4.8,24.0,Intermediate,SAS,Machine Learning
1182,Fundamentals of Digital Image and Video Processing,4.6,110.0,Mixed,Northwestern University,Machine Learning
1183,Data Literacy,4.6,5.4,Beginner,Johns Hopkins University,Machine Learning
1184,AI for Medical Prognosis,4.7,19.0,Intermediate,DeepLearning.AI,Machine Learning
1185,Fundamentals of Scalable Data Science,4.3,63.0,Beginner,IBM,Machine Learning
1186,Deep Neural Networks with PyTorch,4.4,32.0,Intermediate,IBM,Machine Learning
1187,Distributed Computing with Spark SQL,4.5,27.0,Intermediate,"University of California, Davis",Machine Learning
1188,Introduction to Deep Learning & Neural Networks with Keras,4.7,23.0,Intermediate,IBM,Machine Learning
1189,Preparing for Google Cloud Certification: Cloud Data Engineer Professional Certificate en Español,4.7,20.0,Intermediate,Google Cloud,Machine Learning
1190,"Data Engineering, Big Data and ML on Google Cloud en Español",4.7,19.0,Intermediate,Google Cloud,Machine Learning
