,course,rating,students,level,university,skills
224,Machine Learning with TensorFlow on Google Cloud em Português Brasileiro,4.7,2 mil,Intermediate,Google Cloud,Machine Learning
225,Machine Learning for Analytics MasterTrack™ Certificate,None,None,None,University of Chicago,Machine Learning
226,AI and Machine Learning MasterTrack Certificate,None,None,None,Arizona State University,Machine Learning
227,Master of Science in Machine Learning and Data Science,None,None,None,Imperial College London,Machine Learning
228,Post Graduate Certificate in Data Science & Machine Learning,None,None,None,IIT Roorkee,Machine Learning
229,IBM Data Engineering,4.6,500 mil,Beginner,IBM,Machine Learning
230,AI For Everyone,4.8,750 mil,Beginner,DeepLearning.AI,Machine Learning
231,TensorFlow: Advanced Techniques,4.8,27 mil,Intermediate,DeepLearning.AI,Machine Learning
232,Practical Data Science,4.5,16 mil,Advanced,DeepLearning.AI,Machine Learning
233,Introduction to Discrete Mathematics for Computer Science,4.5,160 mil,Beginner,University of California San Diego,Machine Learning
234,"Python for Data Science, AI & Development",4.6,380 mil,Beginner,IBM,Machine Learning
235,Big Data,4.5,340 mil,Beginner,University of California San Diego,Machine Learning
236,Computational Thinking for Problem Solving,4.7,75 mil,Beginner,University of Pennsylvania,Machine Learning
237,Convolutional Neural Networks in TensorFlow,4.7,110 mil,Intermediate,DeepLearning.AI,Machine Learning
238,Advanced Statistics for Data Science,4.4,94 mil,Advanced,Johns Hopkins University,Machine Learning
239,Data Analysis with Python,4.7,230 mil,Beginner,IBM,Machine Learning
240,Introduction to Data Science in Python,4.5,660 mil,Intermediate,University of Michigan,Machine Learning
241,"Sequences, Time Series and Prediction",4.7,91 mil,Intermediate,DeepLearning.AI,Machine Learning
242,AI for Medical Diagnosis,4.7,50 mil,Intermediate,DeepLearning.AI,Machine Learning
243,An Intuitive Introduction to Probability,4.8,49 mil,Beginner,University of Zurich,Machine Learning
244,Applied Social Network Analysis in Python,4.7,85 mil,Intermediate,University of Michigan,Machine Learning
245,Building Recommendation System Using MXNET on AWS Sagemaker,3,None,Advanced,Coursera Project Network,Machine Learning
246,Exploratory Data Analysis,4.2,"5,2 mil",Intermediate,Coursera Project Network,Machine Learning
247,Introduction to Data Science and scikit-learn in Python,3.8,None,Beginner,LearnQuest,Machine Learning
248,Aprendizado de máquina com Python,None,None,Intermediate,IBM,Machine Learning
249,ML Pipelines on Google Cloud,3.5,"5,4 mil",Advanced,Google Cloud,Machine Learning
250,Object Detection with Amazon Sagemaker,4.5,7 mil,Advanced,Coursera Project Network,Machine Learning
251,Math for AI beginner part 1 Linear Algebra,None,None,Beginner,Korea Advanced Institute of Science and Technology(KAIST),Machine Learning
252,Semantic Segmentation with Amazon Sagemaker,4.6,"5,5 mil",Advanced,Coursera Project Network,Machine Learning
253,الشبكات العصبية والتعلم العميق,4.6,"3,9 mil",Intermediate,DeepLearning.AI,Machine Learning
254,التعلّم الآلي باستخدام لغة بايثون,None,None,Intermediate,IBM,Machine Learning
255,Build a Classification Model using PyCaret,None,None,Beginner,Coursera Project Network,Machine Learning
256,Introduction to Data Science,4.6,690 mil,Beginner,IBM,Machine Learning
257,Data Science Fundamentals with Python and SQL,4.6,570 mil,Beginner,IBM,Machine Learning
258,Key Technologies for Business,4.7,730 mil,Beginner,IBM,Machine Learning
259,Applied Data Science,4.6,500 mil,Beginner,IBM,Machine Learning
260,IBM AI Foundations for Business,4.7,680 mil,Beginner,IBM,Machine Learning
261,IBM & Darden Digital Strategy,4.7,360 mil,Beginner,IBM,Machine Learning
262,IBM Applied AI,4.6,530 mil,Beginner,IBM,Machine Learning
263,Learn SQL Basics for Data Science,4.6,400 mil,Beginner,"University of California, Davis",Machine Learning
264,Natural Language Processing,4.6,110 mil,Intermediate,DeepLearning.AI,Machine Learning
265,Preparing for Google Cloud Certification: Cloud Architect,4.7,610 mil,Intermediate,Google Cloud,Machine Learning
266,Preparing for Google Cloud Certification: Cloud Engineer,4.7,610 mil,Intermediate,Google Cloud,Machine Learning
267,Preparing for Google Cloud Certification: Cloud Data Engineer,4.6,250 mil,Intermediate,Google Cloud,Machine Learning
268,Blockchain,4.6,190 mil,Intermediate,University at Buffalo,Machine Learning
269,Architecting with Google Kubernetes Engine,4.7,580 mil,Beginner,Google Cloud,Machine Learning
270,Preparing for Google Cloud Certification: Cloud Security Engineer,4.7,590 mil,Intermediate,Google Cloud,Machine Learning
271,AI in Healthcare,4.7,28 mil,Beginner,Stanford University,Machine Learning
272,Preparing for Google Cloud Certification: Cloud DevOps Engineer,4.7,650 mil,Beginner,Google Cloud,Machine Learning
273,Preparing for Google Cloud Certification: Cloud Network Engineer,4.7,580 mil,Intermediate,Google Cloud,Machine Learning
274,Networking in Google Cloud,4.7,580 mil,Intermediate,Google Cloud,Machine Learning
275,Developing Applications with Google Cloud,4.7,590 mil,Intermediate,Google Cloud,Machine Learning
276,Algorithms,4.8,220 mil,Intermediate,Stanford University,Machine Learning
277,Security in Google Cloud,4.7,580 mil,Intermediate,Google Cloud,Machine Learning
278,Modern Application Development with Java on AWS,4.8,83 mil,Beginner,Amazon Web Services,Machine Learning
279,Neural Networks and Deep Learning,4.9,1 m,Intermediate,DeepLearning.AI,Machine Learning
280,Accelerated Computer Science Fundamentals,4.7,73 mil,Intermediate,University of Illinois at Urbana-Champaign,Machine Learning
281,AI Foundations for Everyone,4.7,180 mil,Beginner,IBM,Machine Learning
282,Self-Driving Cars,4.7,130 mil,Advanced,University of Toronto,Machine Learning
283,Geographic Information Systems (GIS),4.8,140 mil,Beginner,"University of California, Davis",Machine Learning
284,"NoSQL, Big Data, and Spark Foundations",4.3,11 mil,Beginner,IBM,Machine Learning
285,Tools for Data Science,4.5,260 mil,Beginner,IBM,Machine Learning
286,Statistics with R,4.6,330 mil,Beginner,Duke University,Machine Learning
287,Microsoft Azure Fundamentals AZ-900 Exam Prep,4.6,36 mil,Beginner,Microsoft,Machine Learning
288,Microsoft Azure Data Engineering Associate DP-203 Exam Prep,4.4,"7,5 mil",Intermediate,Microsoft,Machine Learning
289,MATLAB Programming for Engineers and Scientists,4.8,440 mil,Beginner,Vanderbilt University,Machine Learning
290,"Improving Deep Neural Networks: Hyperparameter Tuning, Regularization and Optimization",4.9,440 mil,Intermediate,DeepLearning.AI,Machine Learning
291,Impact Measurement & Management for the SDGs,4.8,"7,4 mil",Mixed,Duke University,Machine Learning
292,Analyze Data to Answer Questions,4.6,120 mil,Beginner,Google,Machine Learning
293,AI for Medicine,4.7,53 mil,Intermediate,DeepLearning.AI,Machine Learning
294,Financial Technology (Fintech) Innovations,4.7,53 mil,Beginner,University of Michigan,Machine Learning
295,Algorithms for Battery Management Systems,4.7,39 mil,Intermediate,University of Colorado Boulder,Machine Learning
296,Biostatistics in Public Health,4.8,43 mil,Beginner,Johns Hopkins University,Machine Learning
297,AI For Everyone （すべての人のためのAIリテラシー講座）,4.8,18 mil,Beginner,DeepLearning.AI,Machine Learning
298,Advanced Data Science with IBM,4.3,110 mil,Advanced,IBM,Machine Learning
299,Программирование на Python,4.5,80 mil,Intermediate,Moscow Institute of Physics and Technology,Machine Learning
300,Neuroscience and Neuroimaging,4.6,93 mil,Intermediate,Johns Hopkins University,Machine Learning
301,Creating Business Value with Data and Looker,4.8,17 mil,Intermediate,Google Cloud,Machine Learning
302,Natural Language Processing with Classification and Vector Spaces,4.6,100 mil,Intermediate,DeepLearning.AI,Machine Learning
303,Probabilistic Graphical Models,4.6,84 mil,Advanced,Stanford University,Machine Learning
304,Statistics with Python,4.6,110 mil,Beginner,University of Michigan,Machine Learning
305,Convolutional Neural Networks,4.9,400 mil,Intermediate,DeepLearning.AI,Machine Learning
306,Statistical Analysis with R for Public Health,4.7,42 mil,Beginner,Imperial College London,Machine Learning
307,Robotics,4.4,150 mil,Beginner,University of Pennsylvania,Machine Learning
308,Interaction Design,4.5,200 mil,Intermediate,University of California San Diego,Machine Learning
309,"GIS, Mapping, and Spatial Analysis",4.9,64 mil,Beginner,University of Toronto,Machine Learning
310,PostgreSQL for Everybody,4.8,15 mil,Intermediate,University of Michigan,Machine Learning
311,Advanced Business Analytics,4.6,210 mil,Intermediate,University of Colorado Boulder,Machine Learning
312,Learn English: Beginning Grammar,4.9,12 mil,Beginner,"University of California, Irvine",Machine Learning
