,course,rating,students,level,university,skills
2669,Business Opportunities and Risks in a Globalized Economy,4.8,7.0,Intermediate,IE Business School,Java
2670,Sistem Operasi dan Anda: Menjadi Pengguna yang Berdaya,4.9,,Beginner,Google,Java
2671,Administrasi Sistem dan Layanan Infrastruktur TI,5.0,,Beginner,Google,Java
2672,Trello for Beginners,4.6,1.8,Beginner,Coursera Project Network,Java
2673,How to Get Skilled: Introduction to Individual Skills Management (Project-Centered Course),3.8,51.0,Intermediate,The State University of New York,Java
2674,Building Candlestick Charts with Google Sheets,4.3,8.0,Beginner,Coursera Project Network,Java
2675,Compétences Excel pour l’entreprise : les notions clés,,,Beginner,Macquarie University,Java
2676,Project Management among Multiple Organizations with Trello,,,Intermediate,Coursera Project Network,Java
2677,التقانة والمستشعرات النانوية - الجزء الاول,4.0,3.0,Mixed,Technion - Israel Institute of Technology,Java
2678,Building Candlestick Charts with Tableau,4.3,3.9,Beginner,Coursera Project Network,Java
2679,التقانة والمستشعرات النانوية - الجزء الثاني,,,Mixed,Technion - Israel Institute of Technology,Java
2680,Originalité et modernité du mutualisme,4.6,,Beginner,ESSEC Business School,Java
2681,Structurer des projets d’apprentissage automatique,,,Beginner,DeepLearning.AI,Java
2682,Excel to MySQL: Analytic Techniques for Business,4.6,660.0,Beginner,Duke University,Java
2683,Think like a CFO,4.8,170.0,Beginner,IESE Business School,Java
2684,Data Warehousing for Business Intelligence,4.5,210.0,Advanced,University of Colorado System,Java
2685,Dairy Production and Management,4.9,41.0,Mixed,The Pennsylvania State University,Java
2686,Troubles du spectre de l'autisme : interventions,4.8,3.9,Intermediate,University of Geneva,Java
2687,Online Learning Design for Educators,4.7,3.7,Beginner,Macquarie University,Java
2688,Geopolítica y gobernanza global: riesgos y oportunidades,4.8,45.0,Mixed,ESADE Business and Law School,Java
2689,Business Metrics for Data-Driven Companies,4.6,260.0,Mixed,Duke University,Java
2690,Urbanisation and Health - Promoting Sustainable Solutions,4.8,1.7,Mixed,University of Copenhagen,Java
2691,Introduction to Public Health Engineering in Humanitarian Contexts,4.8,8.7,Beginner,École Polytechnique Fédérale de Lausanne,Java
2692,Data Science Ethics,4.8,26.0,Beginner,University of Michigan,Java
2693,Online education: The foundations of online teaching,4.7,2.6,Beginner,Macquarie University,Java
2694,Program Design & Evaluation for Health Systems Strengthening,,,Intermediate,Johns Hopkins University,Java
2695,Data Visualization and Communication with Tableau,4.7,200.0,Mixed,Duke University,Java
2696,Financing Infrastructure in African Cities,4.6,3.9,Beginner,United Cities and Local Governments of Africa,Java
2697,Mastering Data Analysis in Excel,4.2,320.0,Mixed,Duke University,Java
2698,Managing Big Data with MySQL,4.7,170.0,Mixed,Duke University,Java
2699,Life 101: Mental and Physical Self-Care,4.8,5.3,Beginner,"University of California, Irvine",Java
